en,fr,de,vi
alkaline battery,batterie alcaline,Stahlbatterie,
alkaline elctrolyte fuel cell,pile à électrolyte basique,alkalische Brennstoffzelle,
alkaline storage battery,accumulateur alcalin,alkalischer Akkumulator,
alkalyne electrolyte,électrolyte alcalin,alkalischer Elektrolyt,
all solid state lithium battery,batterie au lithium entièrement solide,Ganzfestkörper-Lithiumbatterie,
all transistor,tout à transistors,volltransistorisiert,
all-channel antenna,antenne de réception multivoie,Multibandantenne,
all-electric interlocking apparatus,poste électrique d'enclenchement,elektrisches Stellwerk,
all-hydrogen system,système tout-hydrogène,Nurwasserstoffsystem,
all-in tariff,tarif à compteur unique,Zahlertarif,
all-or-nothing relay,relais de tout ou rien,Schaltrelais,
all-relay interlocking box,poste tout relais,Relaisstellwerk,
all-relay signal box with visual illuminated diagram,poste tout relais à tableau de contrôle optique,Gleisbildstellwerk mit Tastenpult und Meldetafel,
all-solid battery,batterie tout solide,ganz aus Feststoffen bestehende Batterie,
all-solid state equipment,système entièrement transistorisé,transistorisierte Geräte,
allocation obligation,obligation de répartition,Zuteilungspflicht,
allocation of oil,répartition du pétrole,Zuteilung von Öl,
allocation right,droit d'allocation,Zuteilungsrecht,
allotropic transformation,transformation allotropique,allotrope Umwandlung,
allowable indoor leakage,fuites intérieures admissibles,zulässige Leckgasmenge bei Innenleitungen,
allowable temperature rise,échauffement admissible,zulässige Erwärmung,
allowed band,bande permise,erlaubtes Band,
allowed energy,énergie permise,erlaubte Energie,
allowed transitions,transitions permises,erlaubte Übergänge,
alloy diffusion technique,technique alliage-diffusion,AD-Technik,
alloy film,couche d'alliage,Legierungsfilm,
alloy front,interface de l'alliage,Legierungsgrenzfläche,
alloy junction,diode alliée,legierte Diode,
alloy junction,jonction par alliage,legierter Übergang,
alloy p-n junction,jonction p-n alliée,Legierungs-PN-Übergang,
alloy reference diode,diode de référence alliée,Legierungs-Referenzdiode,
alloy semiconductor,semiconducteur allié,Verbindungshalbleiter,
alloy technique,procédé par alliage,Legierungstechnik,
alloy-diffused base transistor,transistor à base alliée diffusée,Transistor mit legierungsdiffundierter Basis,
alloy-diffused mesa transistor,transistor mesa allié diffusé,Legierungsdiffusions-Mesatransistor,
alloy-diffused technique,technique d'alliage diffusé,Legierungsdiffusion,
alloy-diffused transistor,transistor allié-diffusé,diffusionslegierter Transistor,
alloy-junction device,élément à jonction alliée,Bauelement mit Legierungsübergang,
alloy-junction interface,interface de la jonction alliée,Grenzfläche des Legierungsübergangs,
alloy-type abrupt junction,jonction rapide p-n,abrupter PN-Übergang,
alloyed junction,jonction par alliage,Legierungsübergang,
alloyed transistor,transistor à jonction alliée,legierter Transistor,
alloying and refining time,temps de mise à la nuance et d'affinage,Feinungs-und/oder Legierungszeit des Schmelzzyklus,
alloying depth,zone de pénétration de l'alliage,Legierungstiefe,
alloying element,élément utilisé pour l'alliage,Legierungselement,
alloying gas ambient,atmosphère d'alliage,Legierungsatmosphäre,
alloying oven,four d'alliage,Legierungsofen,
alloying pellet,pastille utilisée pour l'alliage,Legierungspille,
alloying process,procédé par alliage,Legierungsprozess,
alloying technique,technique d'alliage,Legierungstechnik,
alloying temperature,température durant l'alliage,Legierungstemperatur,
alloying-temperature profile,diagramme temporaire de la température pendant l'alliage,Legierungstemperaturverlauf,
Almaz,Almaz,Almaz,
alpeth,gaine d'aluminium ondulée sous gaine de polyéthylène,Schichtenmantel aus PE und überlappendem beidseitigem Aluminiumband,
alpha-particle sensitivity,sensibilité aux particules alpha,Alphateilchen-Sensibilität,
alphabet translation,conversion de l'alphabet,Alphabetumsetzung,
altazimuth mounting,monture altazimutale,Altazimuth-Montierung,
alterable memory,mémoire altérable,veraenderbarer Speicher,
alternate current charge indicator,indicateur de charge de courant alternatif,Wechselstromladeanzeiger,
alternate current generator protection panel,panneau de protection d'alternateur,Drehstromgenerator-Schutzschaltertafel,
alternate flexure test,flexion alternée,Biegewechseltest,
alternate mark inversion,signaux bipolaires alternés,bipolares PCM-Signal,
alternating,alternatif,Wechsel-,
alternating and direct current traction unit,véhicule moteur polycourant,Mehrsystemtriebfahrzeug,
alternating component,composante alternative,Wechselanteil,
alternating current,courant alternatif,Wechselstrom,
alternating current bus,barre-bus alternative,Drehstromsammelschiene,
alternating current commutator machine,machine asynchrone à collecteur,Wechselstrom-Kommutatormaschine,
alternating current commutator motor,moteur à collecteur,Wechselstrom-Kommutatormotor,
alternating current coupled modulator,modulateur du type à couplage alternatif,wechselstromgekoppelter Modulator,
alternating current coupling,couplage en alternatif,Wechselsstromkopplung,
alternating current electrolytic capacitor,condensateur électrolytique pour courant alternatif,Elektrolytkondensator für Wechselspannung,
alternating current gas discharge display,afficheur à décharge de gaz en courant alternatif,Wechselspannungs-Gasentladungs-Anzeige,
alternating current generation system,génération alternative,Wechselstromerzeugung,
alternating current generation system,génération de courant alternatif,Wechselstromerzeugung,
alternating current motor,moteur à courant alternatif,Wechselstrommotor,
alternating current network,réseau à tension alternative,Wechselstromnetz,
alternating current supply,alimentation en alternatif,Wechselstromversorgung,
alternating current voltage,tension alternée,Wechselspannung,
alternating discharge current of a protector,courant alternatif de décharge d'un parafoudre,Wechselstrom-Entladestrom eines Schutzgerätes,
alternating field,champ alternatif,Wechselfeld,
alternating light,feu alterné,Wechsellicht,
alternating tone modulation,modulation de tonalités alternatives,Wechseltonmodulation,
alternating voltage,tension alternative,Wechselspannung,
alternating-current automatic block,block automatique à courant alternatif,mittels Wechselstromes betriebener Selbstblock,
alternating-current commutator motor,moteur à courant alternatif à collecteur,Wechselstromkommutatormotor,
alternating-current inverter,onduleur de courant,Wechselrichter,
alternating-current output,puissance de courant alternatif,Wechselstromversorgung,
alternating-current polyphase induction-motor,moteur à induction à courant alternatif polyphasé,Mehrphasen-Wechselstrom-Induktionsmotor,
alternating-current relay,relais à courant alternatif,Wechselstromrelais,
alternating-current signalling,signalisation à courant alternatif,Wechselstromsignalisierung,
alternating-current single-phase induction-motor,moteur à induction à courant alternatif monophasé,Einphasen-Wechselstrom-Induktionsmotor,
alternating-current track circuit,circuit de voie à courant alternatif,Wechselstromkreis bei isolierten Gleisen,
alternation,alternance,Halbschwingung,
alternative energies,énergies de substitution,alternative Energiequellen,
alternative frequency,fréquence de remplacement,Ausweichfrequenz,
alternative insert position,orientation de l'isolant,Orientierung durch Verdrehen des Einsatzes,
alternative route,voie détournée,alternativer Leitweg,
alternative routing indicator,indicateur d'acheminement détourné,Routingänderungsanzeiger,
alternator,générateur de courant alternatif,Wechselstromgenerator,
alternator cover,capot d'alternateur,Wechselstromgeneratorabdeckung,
alternator electrical lead assy,harnais d'alternateur,Drehstromgeneratorspeisekabel,
alternator excitation,excitation des générateurs,Erregung der Generatoren,
alternator feeder,barre alternateur,Wechselstromgeneratorsammelschiene,
alternator feeder,feeder d'alternateur,Wechselstromgenerator-Speiseleitung,
altitude sensitive switch,contacteur altimétrique,Aneroidhöhenschalter,
aluminium deposition on the near of the cell,dépôt d'aluminium à proximité du capteur,Aluminiumablagerung in der Nähe der Zelle,
aluminium diffusion coating,aluminisation,Alitieren,
aluminium electrolytic capacitor,condensateur électrolytique à l'aluminium,Aluminium-Elektrolytkondensator,
aluminium-silicon reaction,réaction aluminium silicium,Aluminium-Silizium-Reaktion,
aluminum antimonide,antimoniure d'aluminium,Aluminium-Antimonid,
aluminum arsenide,arséniure d'aluminium,Aluminium-Arsenid,
aluminum nitride,nitrure d'aluminium,Aluminium-Nitrid,
aluminum solid-solubility in silicon,solubilité solide de l'aluminium dans le silicium,Festlöslichkeit von Aluminium in Silizium,
aluminum-antimonide band gap,bande d'énergie interdite de l'antimoniure d'aluminium,Aluminium-Antimonid-Bandabstand,
aluminum-antimonide electron mobility,mobilité de l'électron dans l'antimoniure d'aluminium,Aluminium-Antimonid-Elektronenbeweglichkeit,
aluminum-antimonide hole mobility,mobilité des trous dans l'antimoniure d'aluminium,Aluminium-Antimonid-Löcherbeweglichkeit,
aluminum-arsenide band gap,bande interdite de l'arséniure d'aluminium,Aluminium-Arsenid-Bandabstand,
aluminum-nitride band gap,bande interdite du nitrure d'aluminium,Aluminium-Nitrid-Bandabstand,
aluminum-oxide passivation,passivation par oxyde d'aluminium,Aluminium-Oxid-Passivierung,
aluminum-phosphide band gap,bande interdite du phosphure d'aluminium,Aluminium-Phosphid-Bandabstand,
AM-VSB television signal,signal de télévision MA-BLA,AM-VSB-Fernsehsignal,
amber,ambre,Bernstein,
ambience,ambiance,akustische Atmosphäre,
ambience extraction,simulation d'environnement sonore,Surround-Signal-Extraktion,
ambient condition,condition ambiante,Umgebungsbedingung,
ambient conditions,conditions ambiantes,Umgebungsbedingungen,
ambient heat,chaleur ambiante,Umweltwaerme,
ambient light,éclairage ambiant,Umgebungslicht,
ambient man-made noise,niveau de bruit artificiel ambiant,industrielle Umgebungsstörung,
ambient noise level,niveau des bruits ambiants,Umgebungsgeräuschpegel,
ambient plasma pressure,pression ambiante du plasma,Umgebungsplasmadruck,
ambient reference junction,jonction de référence à l'ambiance,Vergleichsstelle,
ambient temperature,température de l'air ambiant,umgebende Temperatur,
ambient thermostatic switch,interrupteur thermostatique d'ambiance,umgebungstemperaturgesteuerter Thermoschalter,
ambient-induced breakdown,tension de rupture due aux conditions d'ambiance,umgebungsbedingter Durchschlag,
ambient-rated device,élément caractérisé pour certaines conditions d'ambiance,nach Umgebungsbedingungen ausgelegtes Bauelement,
ambiguity error,erreur d'ambiguïté,Mehrdeutigkeitsfehler,
ambiguity period,période d'ambiguïté,Vieldeutigkeitsperiode,
ambiguity switch,interrupteur de lever de doute,Eindeutigkeitsschalter,
ambipolar diffusion,diffusion ambipolaire,ambipolare Diffusion,
ambipolar photoconductivity,photoconductivité ambipolaire,ambipolare Photoleitfähigkeit | Fotoleitfähigkeit,
American multiblade turbine,éolienne multipale,amerikanische Windturbine,
American Standard Code for Information Interchange,code ASCII,ASCII,
amine plant,installation de traitement aux amines,Aminwäsche,
ammonia synthesis,synthèse de l'ammoniac,Ammoniak-Synthese,
ammonium chloride,chlorure d'ammonium,Ammoniumchlorid,
ammonium oxalate,oxalate d'ammonium,Ammoniumoxalat,
ammunition umbilical connector,prise de munition,Munitionsstecker,
amorphous module degradation,dégradation des modules amorphes,Verschleiß von amorphen Modulen,
amorphous oxide film,couche d'oxyde amorphe,amorpher Oxidfilm,
amorphous semiconductor,semiconducteur amorphe,amorpher Halbleiter,
amorphous surface phase,phase amorphe de surface,amorphe Oberflächenphase,
amount of compression,degré de compression,Kompressionsmenge,
amperage,ampérage,Stromstärke,
amperage,intensité de courant,Stromstärke,
ampere conductors,ampères-conducteurs,Ampereleiter,
ampere hour,ampère-heure,Amperestunde,
ampere hour meter,ampèreheuremètre,Amperestundenzähler,
ampere turns,ampères-tours,Amperewindungen,
ampere-hour capacity,capacité en quantité d'électricité,Kapazität in Ah,
ampere-turns per centimetre,ampères-tours par centimètre,Amperewindungen,
amplidyne,amplidyne,Amplidyne,
amplification,amplification,Verstärkung,
amplification coefficient,gain d'un amplificateur,Verstärkungskoeffizient,
amplification factor,facteur d'amplification du tube,Verstärkungsfaktor,
amplification function,fonction d'amplification,Verstärkungsfunktion,
amplified automatic gain control,commande automatique de gain amplifiée,automatische Verstärkungsregelung,
amplifier,amplificateur,Verstaerker,
amplifier,amplificateur,Verstärker,
amplifier,amplificateur,Verstärker,
amplifier,amplificateur,Verstärker,
amplifier box,coffre pour amplificateurs,Verstaerkerkoffer,
