en,fr,de,vi
aircraft fuel system,circuit carburant d'aéronef,zellenseitige Kraftstoffanlage,
aircraft lifting hydraulic jack,vérin de levage de l'avion,Aufbockzylinder,
aircraft on ground,urgence de dépannage d'aéronef,Flugzeug unklar,
aircraft pallet,palette d'avion,Luftfahrzeugpalette,
aircraft propeller,hélice d'avion,Flugzeugspropeller,
aircraft refuel coupling,raccord pour remplissage de carburant avion,Luftfahrzeugtankanschluss,
aircraft replenishing,remise en oeuvre d'un appareil,Luftfahrzeugbetriebsstoffergänzung,
aircraft-related three-axis system,système d'axes liés à l'avion,flugzeugfestes Achsensystem,
airdrop container,conteneur d'aérolargage,Lastenabwurfbehälter,
airflow sensor,détecteur de débit,Durchflussgeber,
airfoil,tapis roulant,Segelwagen,
airfoil de-icing valve,vanne de dégivrage de planeur,Flugwerkenteisungsklappe,
airfoil profile,profil d'aile portante,Tragfluegelprofil,
airfoil wall,paroi d'aubage,Schaufelblattwand,
airfoil-to-disk blade combination,liaison aubage-disque,Schaufelblatt-Scheiben-Kombination,
airframe de-icing air outlet,sortie d'air de dégivrage de planeur,Flugwerkenteisungsluftauslaß,
airframe/engine integration,adaptation du propulseur à la cellule,Zelle-Triebwerk-Integration,
airheaters working with all types of energy,générateur d'air chaud pour toutes les sortes de combustibles ou autres sources d'energie,Lufttanwaermegeraet fuer alle Energiearten,
airing cupboard,armoire-séchoir,Schranktrockner,
airplane packing,emballage pour transport par avion,luftfrachtmaessige Verpackung,
airscrew,hélice d'aérodyne,Luftschraube,
airtightness,étanchéité à l'air,Luftdichtheit,
airwheel,roue à ailettes,Fluegelrad,
aisle with a guidance system,allée pourvue d'un dispositif de guidage,Gang mit Leitlinienführung,
aisle without guidance system,allée sans dispositif de guidage,Gang ohne Leitlinienführung,
alarm barrel,barillet de réveil,Federhaus für Weckwerk,
alarm barrel complete,barillet complet de réveil,Federhaus vollständig für Weckwerk,
alarm barrel drum,tambour de barillet de réveil,Federhaustrommel für Weckwerk,
alarm bell,sonnerie d'alarme,Notruf-Glocke,
alarm clock case,boitier de réveil,Gehäuse für Wecker,
alarm mainspring,ressort-moteur de réveil,Triebfeder für Weckwerk,
alarm mainspring with sliding attachment,ressort-moteur de réveil avec ressort de freinage,Triebfeder mit Schleppfeder für Weckwerk,
alarm push button,bouton d'alarme,Notruf-Drucktaster,
alarm push button,bouton-poussoir d'alarme,Notruf-Drucktaster,
alarm-signal case,boîte d'appel du signal d'alarme,Notbremszugkasten,
alcan container,seau alcan,Alcan-Eimer,
alcohol de-icing,dégivrage par méthanol-alcool,Alkoholenteisung,
alcohol tables,table alcoométrique,alkoholometrische Tafel,
alcohol thermometer,thermomètre à alcool,Alkoholthermometer,
alfalfa tooth,dent plate étranglée,Luzerneeggenzinken,
align reaming box,palier d'alignement,Ausrichtwerkzeug für Ausbohrungsarbeiten,
alignement rig,outillage d'harmonisation,abgleichvorrichtung,
alignment function character,caractère fonction subdivision de programme,Hauptsatzzeichen,
alignment pin,broche repère,Passtift,
alignment roll,rouleau d'alignement,Regulierwalze,
alignment sight,oeilleton d'harmonisation,Einblick für Achsabgleich,
alkaline cleaning,lessivage alcalin,alkalische Beizung,
all direction fork truck,chariot élévateur omni-directionnel,allseitig fahrbarer Quergabelstapler,
all steel body,carrosserie tout acier,Ganzstahlkarrosserie,
all wood stillage,plate-forme en bois,Zweiweg-Palette,
all-air system,système tout air,Nur-Luft-System,
all-attitude platform,plateforme gyroscopique toutes attitudes,All-Lagen-Plattform,
all-weather spark plug,bougies d'allumage tous-temps,Allwetterzündkerze,
allen wrench,clé six-pans mâles,Inbusschlüssel,
allied oil,huile dopée,gedoptes Öl,
Allievi's theory of surge pressures,méthode des séries enchaînées d'Allievi,Allievische Druckstosstheorie,
allowable engine operating time,potentiel moteur,zulässige Triebwerksbetriebszeit,
allowance,surépaisseur sur flanc,Aufmaß,
allspeed aileron servo-control,servocommande d'aileron à toutes vitesses,Allgeschwindigkeitsquerruderservozylinder,
alternating aeration,ventilation discontinue,wechselnde Belüftung,
alternating current commutator machine,machine asynchrone à collecteur,Wechselstrom-Kommutatormaschine,
alternating current commutator motor,moteur à collecteur,Wechselstrom-Kommutatormotor,
alternating current motor,moteur à courant alternatif,Wechselstrommotor,
alternating grind,affûtage alterné,Wechselschliff,
alternating test voltage,tension alternative d'essai,Prüfwechselspannung,
alternating-current commutator motor,moteur à courant alternatif à collecteur,Wechselstromkommutatormotor,
alternating-current polyphase induction-motor,moteur à induction à courant alternatif polyphasé,Mehrphasen-Wechselstrom-Induktionsmotor,
alternating-current single-phase induction-motor,moteur à induction à courant alternatif monophasé,Einphasen-Wechselstrom-Induktionsmotor,
alternative front and rear loader,chargeur réversible,Zweiweg-Front- und-Hecklader,
alternative system of propulsion,système de propulsion alternatif,alternatives Antriebssytem,
alternative working,fonctionnement alternatif,Alternativbetrieb,
alternator brush-holder,porte-balais d'alternateur,Wechselstromgeneratorbürstenhalter,
alternator electrical lead assy,harnais d'alternateur,Drehstromgeneratorspeisekabel,
alternator supporting strap,sangle de support d'alternateur,Generatorhaltegurt,
alti-coder,alti-codeur,Höhenmesser-Kodierer,
altitude compensator,correcteur altimétrique,höhenabhängiger Regler,
altitude engine,moteur suralimenté,Höhentriebwerk,
altitude of the outlet section of a pump,cote de la section de sortie d'une pompe,Hoehenlage des Austrittsquerschnitts der Pumpe,
altitude relight,réallumage en altitude,Wiederzünden im Fluge,
altitude seek and hold control,commande de recherche et de maintien d'altitude,Höhen-Such- und-Haltungssteuerung,
alumel,alumel,Alumel,
aluminium reflector,réflecteur en aluminium,Aluminiumreflektor,
amalgam pump,pompe à amalgame,Amalgampumpe,
ambient starting temperature range,plage ambiente de température de démarrage,Umgebungstemperaturen beim Anlassen des Motors,
ambient-temperature filling,remplissage à température ambiante,Füllen bei Raumtemperatur,
ambulance,ambulance,Krankenwagen,
American multiblade turbine,éolienne multipale,amerikanische Windturbine,
americano,americano,americano,
Aminophenol,Aminophénol,Aminophenol,
ammonia injection,injection d'ammoniaque,Ammoniakeinspritzung,
ammonia injection,injection d'ammoniaque,Ammoniakeinspritzung,
ammunition extraction tool,outillage d'extraction de munition,entladewerkzeug munition,
ampere conductors,ampères-conducteurs,Ampereleiter,
ampere turns,ampères-tours,Amperewindungen,
ampere-turn,ampère-tour,Ampere-Windungszahl,
amplification,amplification,Verstärkung,
amplitude ratio,rapport d'amplitude,Amplituden-Verhältnis,
analog instrumentation recorder,enregistreur analogique d'instrumentation,analoges Meßgerät,
analogue-amplifier,amplificateur analogique,Analogverstärker,
analytical balance,balance analytique,Analysenwaage,
anchor nut,ecrou a river (a patte),Annietmutter,
anchor nut gang,plaquette à riveter,Nietschild,
anchor point,point fixe,Festpunkt,
anchorage of the carrying cable,ancrage du cable porteur,Verankerung des Tragseils,
anchoring clip,pince d'ancrage,Verankerungsklammer,
anchoring rail,rail d'ancrage,Verankerungsschiene,
anchoring screw,vis d'ancrage,Ankerschraube,
Andean Group,Groupe andin,Andengruppe,
anelastic deformation in heavy-walled cylinders,déformations anélastiques dans les cylindres à parois épaisses,anelastische Verformungen bei dickwandigen zylindrischen Behaeltern,
aneroid,capsule anéroïde,Aneroiddose,
aneroid capsule,capsule anéroide,Druckdose,
aneroid capsule,capsule déformable,Druckdose,
angle at which the cranks are fastened,angle de calage des manivelles,Kurbelversetzungswinkel,
angle cock,robinet d'arrêt,Absperrhahn,
angle error,défaut d'angle d'axes,Achswinkelfehler,
angle gearbox,renvoi d'équerre,Winkeltrieb,
angle guide,guide d'angle,Winkelfuehrung,
angle joint-cover,cornière couvre-joint,Winkellasche,
angle milling cutter,fraise conique,Winkelfraeser,
angle of chip flow,angle de direction d'écoulement du copeau,Spanrichtungswinkel,
angle of closing,angle de fermeture,Schliesswinkel,
angle of contact,angle de conduite apparent,Profil-ueberdeckungswinkel,
angle of incidence,angle d'incidence,Blattanströmwinkel,
angle of opening,angle d'ouverture,Öffnungswinkel,
angle of pull,angle de traction,Zugwinkel,
angle of scroll,angle d'enroulement,Zentriwinkel der Abwicklung,
angle of slew,rotation,Schwenkbereich,
angle of throttle opening,angle d'ouverture du papillon,Öffnungswinkel der Drosselklappe,
angle of twist,angle de torsion,Drallwinkel,
angle of twist,angle de vrillage,Verwindung,
angle of wrap,arc d'enroulement,Umschlingungswinkel,
angle plate,équerre de fixation,Aufspannwinkel,
angle plug valve,robinet à tournant défoncé,Eckhahn,
angle press,presse d'angle,winkelpresse,
angle press,presse de moulage à double effet à tête d'équerre,Winkelpresse,
angle prism,prisme de renvoi,Strahlteiler,
angle section,profilé en v,V Profil,
angle sill,seuil en cornière,Winkeleisen-Schwelle,
angle spice,éclisse à patin,Winkellasche,
angle support,cornière-support,Tragwinkel,
angle transmission,renvoi d'angle,Kegelräderpaar,
angle transmission,renvoi d'angle,Winkelübertragung,
angle valve,robinet d'équerre,Eckventil,
angled piston pump,pompe à axe brisé,Schrägachsenpumpe,
angles of construction,angles de construction,Bauwinkel,
angling of plough frame,réglage de dévers de pointe,seitliche Verstellung der Scharspitze,
angular displacement,débattement angulaire,Ausschlag,
angular extruded head,tête de boudineuse à angle,Schraegspritzkopf,
angular lead,avance angulaire,Voreilungswinkel der Kurbel,
angular momentum axis,axe du moment cinétique,Drehimpulsachse,
angular momentum exchange device,dispositif à compensation de moment cinétique,Entdrallungsgerät,
angular pitch,pas angulaire,Teilungswinkel,
angular variation in synchronous generators,variation angulaire dans un alternateur synchrone,Polradwinkeländerungen eines Synchrongenerators,
angular vector rotation,rotation de vecteur angulaire,Winkelgeschwindigkeit,
angular velocity,vitesse angulaire,Winkelgeschwindigkeit,
angular velocity,vitesse angulaire,Winkelgeschwindigkeit,
angular velocity component,composante de la vitesse angulaire,Winkelgeschwindigkeitskomponente,
annual closure,arrêt annuel,jaehrliche Schliessung,
annular blank,flan annulaire,ringförmiger Nutzen,
annular concrete shield,bouclier annulaire de béton,Betonzylinder,
annular diffuser,diffuseur annulaire,Ringdiffusor,
annular flow,écoulement annulaire,Ringstroemung,
annular radiator,radiateur annulaire,Ringkühler,
annular radiator,radiateur annulaire,Ringkühler,
annular ring shanked nail,clou à tige crantée,Kammnagel,
annulus,chambre annulaire,Ringkammer,
annulus collector,collecteur annulaire,Ringraum,
annulus gear,couronne,Hohlrad eines Planetengetriebes,
annunciator,tableau indicateur des appels,Anzeigeeinrichtung,
anodised aluminium,aluminium anodisé,eloxiertes Aluminium,
antagonistic torque,couple antagoniste,gegenwirkendes Drehmoment,
antenna azimuth drive motor,moteur de gisement d'antenne,Lenkradar-Antenne-Azimutmotor,
antenna lock actuator,verrou d'antenne,Antennenriegel,
antenna locking,verrouillage d'antenne,Antenneneinrastung,
antenna mechanism,mécanique d'antenne,Antennenmechanik,
antenna pointing mechanism,mécanisme de pointage d'antenne,Antennenstellantrieb,
antenna rotation motor,moteur de rotation d'antenne,Antennendrehmotor,
antenna unlocking shoe,sabot de déverrouillage d'antenne,Antennenauflaufblock,
anteroom,local pré-frigorifique,Vorraum,
anti vibration link,biellette d'amortissement,Dämpfungsstange,
anti-autorotative force,force anti-autorotative,Gegen-Autorotationskraft,
anti-boat tail,anti-rétreint,Gegenreduzierung,
anti-corrosion oil,huile anti-corrosion,Korrosionsschutzöl,
anti-creep device,dispositif anti-cheminant,Wanderklemme,
anti-creep levelling,isonivelage anti-dérive,nachregulierend,
anti-creep valve,soupape anti-dérive,Absenksicherungs-Ventil,
anti-drag wire,hauban de recul,Gegenverspannungsdraht,
anti-drowning valve,soupape anti-noyade,Wassersperrventil,
anti-drumming compound,matériau d'insonorisation,Antidroehnmasse,
anti-drumming sheet,carton d'insonorisation,Antidroehnpappe,
anti-extrusion ring,bague anti-extrusion,Stützring,
anti-flapping restrainer,butée centrifuge,Fliehkraftanschlag,
anti-freeze pump,pompe anti-gel,Frostschutzpumpe,
anti-friction vibrator,annulateur de frottement,Reibungsdämpfer,
anti-friction vibrator,vibreur anti-friction,Antifriktionsvibrator,
anti-icing hot air delivery pipe,conduit d'amenée d'air chaud de dégivrage,Enteisungswarmluftzufuhrleitung,
anti-icing hot air tube,conduit d'air chaud de dégivrage,Enteisungswarmluftleitung,
anti-lift wire,hauban de soutien au sol,Gegenkabel,
anti-lock braking system,système antiblocage des roues,automatischer Blockier-Verhinderer,
anti-pinking agent,préparation antidétonante,Klopfschutzmittel,
anti-quick reversal,inversion lente,Umschaltverzoegerung,
anti-rattle spring,ressort anti-vibrant,Stoßdämpf-Feder,
anti-roll horns,dispositif anti-tonneau,Rollschutzvorrichtung,
anti-roll property,non-retournement,Nichtüberschlageigenschaft,
anti-rolling wire,hauban anti-roulis,Antirollkabel,
anti-skid,défreinage,Antiblockiervorrichtung,
anti-skid device,désenrayeur,Gleitschutzeinrichtung,
anti-skid unit,dispositif anti-dérapant,Gleitschutzsystem,
anti-slip provision on brake pedal,caoutchouc de la pédale de frein,Antirutschvorrichtung auf dem Bremspedal,
anti-smear air deflector,déflecteur d'air anti-souillures,Luftleitblech gegen Verschmutzungen,
anti-splash jet-nozzle,brise-jet,Strahlregler,
anti-squeak,anti-grincement,Geräuschdämpfer,
anti-suffocation valve,soupape anti-suffocation,Luftzulassventil,
anti-surge valve,relais manométrique,manometrisches Gerät,
anti-swiveling,anti-rotulant,verdrehsicher,
anti-syphon valve,clapet anti-siphon,Ueberlaufventil,
anti-theft device,dispositif antivol,Diebstahlsicherung,
anti-torque device,dispositif anti-couple,Gegendrehmomentvorrichtung,
anti-torque device,dispositif de compensation de couple,Drehmomentausgleichsvorrichtung,
anti-torque propeller,hélice anticouple,Gegenmomentpropeller,
anti-vibration mounting,montage anti-vibratoire,Schwingungsgedämpfte Montage,
anti-vortex device,dispositif anti-vortex,Drallbrecher,
